"ID","Type","SKU","Name","Published","Is featured?","Visibility in catalog","Short description","Description","In stock?","Stock","Backorders allowed?","Sold individually?","Regular price","Sale price","Categories","Tags","Images","Attribute 1 name","Attribute 1 value(s)","Attribute 1 visible","Attribute 1 global","Attribute 2 name","Attribute 2 value(s)","Attribute 2 visible","Attribute 2 global","Attribute 3 name","Attribute 3 value(s)","Attribute 3 visible","Attribute 3 global","Attribute 4 name","Attribute 4 value(s)","Attribute 4 visible","Attribute 4 global"
"","simple","LUK-JORDAN-JORDAN-9-U-10-001","Jordan 9 unc","1","0","visible","Talle: 10 | Género: Hombre | Condición: Usado","","0","0","0","1","165000","","Zapatillas > Jordan","","","Talle","10","1","1","Género","Hombre","1","1","Marca","Jordan","1","1","Condición","Usado","1","1"
"","simple","LUK-JORDAN-JORDAN-6-M-11-002","Jordan 6 midnight","1","0","visible","Talle: 11 | Género: Hombre | Condición: Usado","","0","0","0","1","135000","","Zapatillas > Jordan","","","Talle","11","1","1","Género","Hombre","1","1","Marca","Jordan","1","1","Condición","Usado","1","1"
"","simple","LUK-JORDAN-JORDAN-6-C-5.5-003","Jordan 6 carmine","1","0","visible","Talle: 5.5 | Género: Mujer | Condición: Usado","","0","0","0","1","","","Zapatillas > Jordan","","","Talle","5.5","1","1","Género","Mujer","1","1","Marca","Jordan","1","1","Condición","Usado","1","1"
"","simple","LUK-JORDAN-JORDAN-13--7Y-004","Jordan 13 white grey","1","0","visible","Talle: 7Y | Género: Hombre | Condición: Usado","","0","0","0","1","135000","","Zapatillas > Jordan","","","Talle","7Y","1","1","Género","Hombre","1","1","Marca","Jordan","1","1","Condición","Usado","1","1"
"","simple","LUK-JORDAN-JORDAN-3-T-5.5-005","Jordan 3 true blue","1","0","visible","Talle: 5.5 | Género: Mujer | Condición: Usado","","0","0","0","1","115000","","Zapatillas > Jordan","","","Talle","5.5","1","1","Género","Mujer","1","1","Marca","Jordan","1","1","Condición","Usado","1","1"
"","simple","LUK-JORDAN-JORDAN-12--7Y-006","Jordan 12 black white","1","0","visible","Talle: 7Y | Género: Hombre | Condición: Usado","","0","0","0","1","","","Zapatillas > Jordan","","","Talle","7Y","1","1","Género","Hombre","1","1","Marca","Jordan","1","1","Condición","Usado","1","1"
"","simple","LUK-JORDAN-JORDAN-13--5Y-007","Jordan 13 play off","1","0","visible","Talle: 5Y | Género: Mujer | Condición: Usado","","0","0","0","1","120000","","Zapatillas > Jordan","","","Talle","5Y","1","1","Género","Mujer","1","1","Marca","Jordan","1","1","Condición","Usado","1","1"
"","simple","LUK-JORDAN-JORDAN-6-C-6Y-008","Jordan 6 carmine","1","0","visible","Talle: 6Y | Género: Mujer | Condición: Usado","","0","0","0","1","120000","","Zapatillas > Jordan","","","Talle","6Y","1","1","Género","Mujer","1","1","Marca","Jordan","1","1","Condición","Usado","1","1"
"","simple","LUK-JORDAN-JORDAN-12--7Y-009","Jordan 12 playoff","1","0","visible","Talle: 7Y | Género: Hombre | Condición: Usado","","0","0","0","1","120000","","Zapatillas > Jordan","","","Talle","7Y","1","1","Género","Hombre","1","1","Marca","Jordan","1","1","Condición","Usado","1","1"
"","simple","LUK-JORDAN-JORDAN-13--7y-010","Jordan 13 playoff","1","0","visible","Talle: 7y | Género: Hombre | Condición: Usado","","0","0","0","1","135000","","Zapatillas > Jordan","","","Talle","7y","1","1","Género","Hombre","1","1","Marca","Jordan","1","1","Condición","Usado","1","1"
"","simple","LUK-JORDAN-JORDAN-3-F-7y-011","Jordan 3 fear","1","0","visible","Talle: 7y | Género: Hombre | Condición: Usado","","0","0","0","1","135000","","Zapatillas > Jordan","","","Talle","7y","1","1","Género","Hombre","1","1","Marca","Jordan","1","1","Condición","Usado","1","1"
"","simple","LUK-JORDAN-JORDAN-6-U-8us-012","Jordan 6 unc","1","0","visible","Talle: 8 us | Género: Hombre | Condición: Usado","","0","0","0","1","165000","","Zapatillas > Jordan","","","Talle","8 us","1","1","Género","Hombre","1","1","Marca","Jordan","1","1","Condición","Usado","1","1"
"","simple","LUK-JORDAN-JORDAN-13--7y-013","Jordan 13 black cat","1","0","visible","Talle: 7y | Género: Hombre | Condición: Usado","","0","0","0","1","125000","","Zapatillas > Jordan","","","Talle","7y","1","1","Género","Hombre","1","1","Marca","Jordan","1","1","Condición","Usado","1","1"
"","simple","LUK-JORDAN-JORDAN-1-C-7y-014","Jordan 1 chicago","1","0","visible","Talle: 7y | Género: Hombre | Condición: Usado","","0","0","0","1","75000","","Zapatillas > Jordan","","","Talle","7y","1","1","Género","Hombre","1","1","Marca","Jordan","1","1","Condición","Usado","1","1"
"","simple","LUK-JORDAN-JORDAN-11--12us-015","Jordan 11 cherry","1","0","visible","Talle: 12 us | Género: Hombre | Condición: Usado","","0","0","0","1","165000","","Zapatillas > Jordan","","","Talle","12 us","1","1","Género","Hombre","1","1","Marca","Jordan","1","1","Condición","Usado","1","1"
"","simple","LUK-JORDAN-JORDAN-12--11us-016","Jordan 12 flu game","1","0","visible","Talle: 11 us | Género: Hombre | Condición: Usado","","0","0","0","1","145000","","Zapatillas > Jordan","","","Talle","11 us","1","1","Género","Hombre","1","1","Marca","Jordan","1","1","Condición","Usado","1","1"
"","simple","LUK-JORDAN-JORDAN-9-U-7y-017","Jordan 9 unc","1","0","visible","Talle: 7y | Género: Hombre | Condición: Usado","","0","0","0","1","135000","","Zapatillas > Jordan","","","Talle","7y","1","1","Género","Hombre","1","1","Marca","Jordan","1","1","Condición","Usado","1","1"
"","simple","LUK-JORDAN-JORDAN-6-H-8us-018","Jordan 6 hare","1","0","visible","Talle: 8 us | Género: Hombre | Condición: Usado","","0","0","0","1","150000","","Zapatillas > Jordan","","","Talle","8 us","1","1","Género","Hombre","1","1","Marca","Jordan","1","1","Condición","Usado","1","1"
"","simple","LUK-JORDAN-JORDAN-6-O-7y-019","Jordan 6 oreo red","1","0","visible","Talle: 7y | Género: Hombre | Condición: Usado","","0","0","0","1","","","Zapatillas > Jordan","","","Talle","7y","1","1","Género","Hombre","1","1","Marca","Jordan","1","1","Condición","Usado","1","1"
"","simple","LUK-JORDAN-JORDAN-3-R-7y-020","Jordan 3 racer blue","1","0","visible","Talle: 7y | Género: Hombre | Condición: Usado","","0","0","0","1","150000","","Zapatillas > Jordan","","","Talle","7y","1","1","Género","Hombre","1","1","Marca","Jordan","1","1","Condición","Usado","1","1"
"","simple","LUK-JORDAN-JORDAN-3-U-8us-021","Jordan 3 unc","1","0","visible","Talle: 8 us | Género: Hombre | Condición: Usado","","0","0","0","1","180000","","Zapatillas > Jordan","","","Talle","8 us","1","1","Género","Hombre","1","1","Marca","Jordan","1","1","Condición","Usado","1","1"
"","simple","LUK-JORDAN-JORDAN-9-G-10us-022","Jordan 9 gym red","1","0","visible","Talle: 10 us | Género: Hombre | Condición: Usado","","0","0","0","1","165000","","Zapatillas > Jordan","","","Talle","10 us","1","1","Género","Hombre","1","1","Marca","Jordan","1","1","Condición","Usado","1","1"
"","simple","LUK-JORDAN-JORDAN-3-M-12us-023","Jordan 3 monday","1","0","visible","Talle: 12 us | Género: Hombre | Condición: Usado","","0","0","0","1","165000","","Zapatillas > Jordan","","","Talle","12 us","1","1","Género","Hombre","1","1","Marca","Jordan","1","1","Condición","Usado","1","1"
"","simple","LUK-JORDAN-JORDAN-6-E-9us-024","Jordan 6 electric green","1","0","visible","Talle: 9 us | Género: Hombre | Condición: Usado","","0","0","0","1","135000","","Zapatillas > Jordan","","","Talle","9 us","1","1","Género","Hombre","1","1","Marca","Jordan","1","1","Condición","Usado","1","1"
"","simple","LUK-AIR-FO-AF1-SKELET-11us-025","Air force af1 skeleton","1","0","visible","Talle: 11 us | Género: Hombre | Condición: Usado","","0","0","0","1","125000","","Zapatillas > Air Force","","","Talle","11 us","1","1","Género","Hombre","1","1","Marca","Air force","1","1","Condición","Usado","1","1"
"","simple","LUK-JORDAN-JORDAN-5-O--026","Jordan 5 oreo","1","0","visible","Talle: Única | Género: Hombre | Condición: Usado","","0","0","0","1","","","Zapatillas > Jordan","","","Talle","Única","1","1","Género","Hombre","1","1","Marca","Jordan","1","1","Condición","Usado","1","1"
"","simple","LUK-JORDAN-JORDAN-3-B--027","Jordan 3 black cement","1","0","visible","Talle: Única | Género: Hombre | Condición: Usado","","0","0","0","1","210000","","Zapatillas > Jordan","","","Talle","Única","1","1","Género","Hombre","1","1","Marca","Jordan","1","1","Condición","Usado","1","1"
"","simple","LUK-JORDAN-JORDAN-8-A--028","Jordan 8 aqua","1","0","visible","Talle: Única | Género: Hombre | Condición: Usado","","0","0","0","1","","","Zapatillas > Jordan","","","Talle","Única","1","1","Género","Hombre","1","1","Marca","Jordan","1","1","Condición","Usado","1","1"
"","simple","LUK-JORDAN-HOODIE-ESS--029","Jordan hoodie essentials x17","1","0","visible","Talle: Única | Género: Unisex | Condición: Usado","","0","0","0","1","95000","","Ropa > Hoodies","","","Talle","Única","1","1","Género","Unisex","1","1","Marca","Jordan","1","1","Condición","Usado","1","1"
